,File_path,ExecutableType,RefId
0,DWBaseIncrementalLoad_ARBalanceMeasure,Microsoft.ExecuteSQLTask,75
1,DWBaseIncrementalLoad_ARBalanceMeasure,Microsoft.Package,1
2,DWBaseIncrementalLoad_ARBalanceMeasure,Microsoft.Pipeline,60
3,DWBaseIncrementalLoad_ARBalanceMeasure,STOCK:FOREACHLOOP,12
4,DWBaseIncrementalLoad_ARBalanceMeasure,STOCK:SEQUENCE,25
5,DWBaseIncrementalLoad_CalculatedMeasure,Microsoft.ExecuteSQLTask,139
6,DWBaseIncrementalLoad_CalculatedMeasure,Microsoft.Package,1
7,DWBaseIncrementalLoad_CalculatedMeasure,Microsoft.Pipeline,125
8,DWBaseIncrementalLoad_CalculatedMeasure,STOCK:FOREACHLOOP,25
9,DWBaseIncrementalLoad_CalculatedMeasure,STOCK:SEQUENCE,51
10,DWBaseIncrementalLoad_CenterStatusSnapshot,Microsoft.ExecuteSQLTask,33
11,DWBaseIncrementalLoad_CenterStatusSnapshot,Microsoft.Package,1
12,DWBaseIncrementalLoad_CenterStatusSnapshot,Microsoft.Pipeline,25
13,DWBaseIncrementalLoad_CenterStatusSnapshot,STOCK:FOREACHLOOP,5
14,DWBaseIncrementalLoad_CenterStatusSnapshot,STOCK:SEQUENCE,11
15,DWBaseIncrementalLoad_DWBaseParentPackage,Microsoft.ExecutePackageTask,11
16,DWBaseIncrementalLoad_DWBaseParentPackage,Microsoft.Package,1
17,DWBaseIncrementalLoad_DWBaseParentPackage,STOCK:SEQUENCE,4
18,DWBaseIncrementalLoad_DailyMeasureFTE,Microsoft.ExecutePackageTask,1
19,DWBaseIncrementalLoad_DailyMeasureFTE,Microsoft.ExecuteSQLTask,16
20,DWBaseIncrementalLoad_DailyMeasureFTE,Microsoft.Package,1
21,DWBaseIncrementalLoad_DailyMeasureFTE,Microsoft.Pipeline,12
22,DWBaseIncrementalLoad_DailyMeasureFTE,STOCK:FOREACHLOOP,4
23,DWBaseIncrementalLoad_DailyMeasureFTE,STOCK:SEQUENCE,4
24,DWBaseIncrementalLoad_DailyMeasureNSE,Microsoft.ExecuteSQLTask,6
25,DWBaseIncrementalLoad_DailyMeasureNSE,Microsoft.Package,1
26,DWBaseIncrementalLoad_DailyMeasureNSE,Microsoft.Pipeline,5
27,DWBaseIncrementalLoad_DailyMeasureNSE,STOCK:FOREACHLOOP,1
28,DWBaseIncrementalLoad_DailyMeasureNSE,STOCK:SEQUENCE,2
29,DWBaseIncrementalLoad_DailyMeasureNetRevenue,Microsoft.ExecuteSQLTask,16
30,DWBaseIncrementalLoad_DailyMeasureNetRevenue,Microsoft.Package,1
31,DWBaseIncrementalLoad_DailyMeasureNetRevenue,Microsoft.Pipeline,12
32,DWBaseIncrementalLoad_DailyMeasureNetRevenue,STOCK:FOREACHLOOP,4
33,DWBaseIncrementalLoad_DailyMeasureNetRevenue,STOCK:SEQUENCE,4
34,DWBaseIncrementalLoad_FTESnapshotMeasure,Microsoft.ExecuteSQLTask,231
35,DWBaseIncrementalLoad_FTESnapshotMeasure,Microsoft.Package,1
36,DWBaseIncrementalLoad_FTESnapshotMeasure,Microsoft.Pipeline,190
37,DWBaseIncrementalLoad_FTESnapshotMeasure,STOCK:FOREACHLOOP,38
38,DWBaseIncrementalLoad_FTESnapshotMeasure,STOCK:SEQUENCE,77
39,DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,Microsoft.ExecuteSQLTask,198
40,DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,Microsoft.Package,1
41,DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,Microsoft.Pipeline,195
42,DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,STOCK:FOREACHLOOP,39
43,DWBaseIncrementalLoad_GLBalancePlanAllocation_FTEMeasure,STOCK:SEQUENCE,79
44,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,Microsoft.ExecuteSQLTask,78
45,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,Microsoft.Package,1
46,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,Microsoft.Pipeline,75
47,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,STOCK:FOREACHLOOP,15
48,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborHoursMeasure,STOCK:SEQUENCE,31
49,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborSalaryMeasure,Microsoft.ExecuteSQLTask,143
50,DWBaseIncrementalLoad_GLBalancePlanAllocation_LaborSalaryMeasure,Microsoft.Package,1
